Oscar dos Santos Emboaba
Guus Til
Fikayo Tomori
Rodrigo Javier De Paul
Domenico Berardi
Luis Muriel
Marten de Roon
Daniel Olmo Carvajal
Miralem Pjanic
Rui Patrício
Manuel Locatelli
Aritz Elustondo
Benoît Costil
Paul Ebere Onuachu
Seko Fofana
Leon Bailey
Éver Banega
David García Zubiria
Alexander Isak
Portu
Wilfried Zaha
Suso
Ivan Rakitić
Diego Carlos
Yassine Bounou
Youssef En-Nesyri
Francesco Caputo
Gabriel Armando de Abreu
Pau Francisco Torres
Raúl Albiol Tortajada
Salvatore Sirigu
José Gómez Campaña
Yuri Berchiche Izeta
Oliver Baumann
Ismaïla Sarr
Kevin Trapp
Dominik Livaković
Jesús Corona
Pepe
Palhinha
Mario Hermoso Canseco
Rodrigo Javier De Paul
Miralem Pjanić
Norberto Murara Neto
Coutinho
Clément Lenglet
Isco
Éder Gabriel Militão
Gareth Bale
Unai Simón Mendibil
Daley Blind
Nicolás Tagliafico
Mário Fernandes
Mario Götze
Grimaldo
Rafa
Niklas Süle
Dayot Upamecano
Alphonso Davies
Emre Can
Thorgan Hazard
Florian Neuhaus
Lars Stindl
Idrissa Gueye
Juan Bernat Velasco
Hakan Çalhanoğlu
Christian Eriksen
Denzel Dumfries
James Maddison
Alessio Romagnoli
Ante Rebić
Anthony Lopes
Xherdan Shaqiri
Fabián Ruiz Peña
Florian Wirtz
Rúben Neves
Martin Ødegaard
Alexandre Lacazette
Alex Nicolao Telles
Leon Bailey
Christian Pulisic
Ben Chilwell
Saúl Ñíguez Esclápez
Richarlison de Andrade
Raphael Dias Belloli
Pierluigi Gollini
Cristian Romero
Tanguy Ndombele
Diogo Jota
Joe Gomez
Tomáš Souček
Łukasz Fabiański
Declan Rice
Alphonse Areola
Ferrán Torres
Fabien Centonze
Ciprian Tătărușanu
Harry Wilson
Mathias Normann
Mathew Ryan
Zambo Anguissa
Christopher Trimmel
Maxwel Cornet
Dominik Szoboszlai
Ondrej Duda
Joakim Mæhle
Stephen Eustáquio
Emiliano Vecchio
Christian Benteke
Iago Amaral Borduchi
Romain Faivre
Sebastián Blanco
Diego López Rodríguez
Juanmi
Max-Alain Gradel
Ihlas Bebou
Luuk Brouwers
Cristhian Stuani
Ben White
Joško Gvardiol
Roman Yaremchuk
Julián Álvarez
Anssumane Fati
Mattéo Guendouzi
Rodolfo Cota
Pedro Santos
Alfred Gomis
Youcef Atal
Joshua King
Óliver Torres Muñoz
Joselu
Robert Skov
Aleksandar Mitrovic
Galeno
Junya Ito
Lucas Zelarayán
Wendell
Christian Fassnacht
Arnaut Danjuma
Amir Rrahmani
Philipp Lienhart
Sandro Tonali
Breel Embolo
Stefano Okaka
Marc Cucurella Saseta
Danny Ings
Manuel Lazzari
Lucas Pezzini Leiva
Enner Valencia
Lei Wu
Juan Musso
Mohamed Elyounoussi
Ruslan Malinovskyi
Andre Blake
Mendes Rodrigues
Thomas Delaney
Sergiño Dest
Andrea Consigli
Konrad Laimer
Nordi Mukiele
Christopher Nkunku
Willi Orban
Kevin Kampl
Emil Forsberg
Nani
Gonzalo Higuaín
Lorenzo Pellegrini
Jordan Veretout
Dejan Kulusevski
Danilo Luiz da Silva
Adrien Rabiot
Emile Smith Rowe
Kortney Hause
Arthur Mendonça Cabral
Medhi Benatia
Darwin Machís
Jonathan Viera Ramos
James Tarkowski
Pedro Rebocho
Max Kruse
Edin Višća
Marc Cucurella Saseta
André-Pierre Gignac
Álex Remiro
Adnan Januzaj
Thomas Delaney
Gonçalo Guedes
Carlos Soler Barragán
Jasper Cillessen
Alessio Cragno
Paco Alcácer
Morales
Aitor Fernández
Dakonam Djené
David Soria Solís
Marlos Romero Bonfim
Agustín Marchesín
Tomáš Vaclík
Otávio
Fernando Muslera
Antonio Adán Garrido
Pedro Gonçalves
Héctor Herrera
Renan Lodi
Pedro González López
Sergio Roberto Carnicer
Nacho Fernández
Lucas Vázquez Iglesias
Iñigo Martínez Berridi
Iñaki Williams Arthuer
Yeray Álvarez López
Steven Berghuis
Joaquín
Rui Silva
Jens Toornstra
Nicolás Otamendi
Ludovic Blas
Andy Delort
Steve Mandanda
Arkadiusz Milik
Danilo Pereira
Leandro Paredes
Maximilian Arnold
José Fonte
Habib Diallo
Burak Yılmaz
Benjamin André
Marko Arnautović
Harvey Barnes
Lucas Paquetá
Houssem Aouar
Marco Davide Faraoni
Andrea Belotti
Odisseas Vlachodimos
Jan Vertonghen
Pizzi
Donny van de Beek
Fred
Anthony Martial
Julian Brandt
Martin Dúbravka
Ivan Perišić
Joaquín Correa
Arturo Vidal
Alessandro Florenzi
James Ward-Prowse
Matteo Politano
Hirving Lozano
Piotr Zieliński
Timo Horn
Lucas Rodrigues M. Silva
Giovani Lo Celso
Reguilón
Edmond Tapsoba
Kurt Zouma
Moussa Diaby
Nicolas Pépé
Danny Ings
Reece James
James Rodríguez
Dominic Calvert-Lewin
Kalvin Phillips
Thomas Strakosha
Hans Hateboer
Remo Freuler
Rafael Tolói
Josef Martínez
Lukas Klostermann
Gianluca Mancini
Aaron Ramsey
Mattia Perin
Miroslav Stevanovic
Alan Mozo
Marco Ruben
Aaron Ramsdale
Anthony Lozano
Enzo Pérez
Franco Armani
Lucas Torreira
José Callejón
Cédric Bakambu
Florian Thauvin
Vicente Guaita Panadero
Andrés Iniesta Luján
Eduardo Salvio
Nicolás Lodeiro
